Value,Label,Description
[acr_br],British acre,"A unit of land area measurement, commonly used in the United Kingdom and some other Commonwealth countries"
[acr_us],American acre,"A unit of land area measurement, widely used in the United States of America for land transactions"
har,Hectare or hectoare,"A metric unit of land area measurement, commonly used worldwide for large land areas in agriculture and planning"
ar,100 m2 (are),"A metric unit of land area measurement, less common but used used historically in European countries for measuring land"
[bu_us],bushel,"A unit of volume or weight used to measure agricultural commodities, primparly dry goods, fruits, and vegetables"
kg/har,kilogram/hectare,A measure of the total weight in kilograms of a specific crop or agricultural product harvested from a one-hectare area of land
[hd_i],hand (height of horse),A unit of measurement for the horse's height at the highest point of the horse's back to the hooves
osm,osmole (amount of dissolved particles),An osmole is a unit of measurement used quantify the number of osmotically active particle or solute particles in solution
Cel,degrees celcius ,A unit of measurement used to express temperature in the metric system
[degF],degrees farenheit,A unit of temperature measurement commonly used in the United States of America
[degR],degree Rankine,A unit of temperature measurement in the absolute temperature scale
[degRe],degree Reaumur,A unit of temperature measurement expressed as a positive or negative value relative to reference points
cal_[15],calorie at 15 degree celsius,Representing the amount of energy required to raise the temperature of 1 gram of water by 1 degree celsius. Approximately equal to 4.184 joules. This is the standard unit for calories
cal_m,mean calorie,Measurement for energy used in nutrition and represents the energy required to raise the temperature of 1 kilogram of water by 1 degree Celsius
cal_IT,internation table calorie,"Synonymous with the ""mean calorie"""
cal_th,thermochemical calorie,Unit of energy associated with chemical reactions or thermal processes which is commonly used in thermodynamics
cal,calorie,A unit of energy required to raise the temperature of 1 gram of water by 1 degree celsius
[Btu_39],British thermal unit at 39 degrees F,Unit of energy for measuring heating and cooling energy. It is specific to the energy content of substance at 39 degrees Fahrenheit
[Btu_59],British thermal unit at 59 degrees F,Unit of energy for measuring heating and cooling energy. It is specific to the energy content of substance at 59 degrees Fahrenheit
[Btu_60],British thermal unit at 60 degrees F,Unit of energy for measuring heating and cooling energy. It is specific to the energy content of substance at 60 degrees Fahrenheit
